zipcode,year,avg_price,count_houses
98001,2014,275250.87,245
98001,2015,292434.49,117
98002,2014,234215.78,132
98002,2015,234418.51,67
98003,2014,292311.72,184
98003,2015,297560.44,96
98004,2014,1295630.17,210
98004,2015,1474266.81,107
98005,2014,803386.54,118
98005,2015,826161.74,50
98006,2014,829379.73,347
98006,2015,929326.17,151
98007,2014,618397.48,101
98007,2015,613841.8,40
98008,2014,645482.55,193
98008,2015,645560.61,90
98010,2014,423160.37,62
98010,2015,424490.95,38
98011,2014,484805.18,142
98011,2015,505211.32,53
98014,2014,457489.59,92
98014,2015,450233.75,32
98019,2014,425077.11,124
98019,2015,424246.97,66
98022,2014,315381.49,154
98022,2015,316340.35,80
98023,2014,286653.01,335
98023,2015,286895.76,164
98024,2014,550451.4,50
98024,2015,629035.48,31
98027,2014,615838.64,285
98027,2015,619575.69,127
98028,2014,454811.69,185
98028,2015,476956.0,98
98029,2014,609954.93,229
98029,2015,619370.98,92
98030,2014,295402.7,155
98030,2015,297393.12,101
98031,2014,298173.13,179
98031,2015,304999.37,95
98032,2014,248700.34,87
98032,2015,257239.47,38
98033,2014,798343.51,292
98033,2015,814932.34,140
98034,2014,513553.09,383
98034,2015,540802.31,162
98038,2014,362377.07,377
98038,2015,374815.63,213
98039,2014,2347731.89,37
98039,2015,1628019.23,13
98040,2014,1187996.04,196
98040,2015,1208437.7,86
98042,2014,306969.58,344
98042,2015,319494.4,204
98045,2014,424430.25,166
98045,2015,484867.05,55
98052,2014,638931.38,416
98052,2015,661818.99,158
98053,2014,682795.35,281
98053,2015,667665.69,124
98055,2014,298219.33,172
98055,2015,315088.76,96
98056,2014,422893.31,265
98056,2015,417126.5,141
98058,2014,354325.3,292
98058,2015,352324.8,163
98059,2014,493594.53,316
98059,2015,493465.23,152
98065,2014,517541.89,199
98065,2015,546640.86,111
98070,2014,478821.07,90
98070,2015,515310.71,28
98072,2014,574530.03,176
98072,2015,561663.67,97
98074,2014,683414.54,319
98074,2015,691335.31,122
98075,2014,786444.03,242
98075,2015,799124.48,117
98077,2014,662100.18,141
98077,2015,733917.54,57
98092,2014,339810.79,226
98092,2015,326080.44,125
98102,2014,888158.97,78
98102,2015,939100.67,27
98103,2014,578038.96,432
98103,2015,602403.14,170
98105,2014,839356.78,157
98105,2015,913999.49,72
98106,2014,311118.48,212
98106,2015,334167.88,123
98107,2014,558015.11,176
98107,2015,620195.0,90
98108,2014,354086.73,139
98108,2015,360386.13,47
98109,2014,889279.43,79
98109,2015,854196.67,30
98112,2014,1068574.17,195
98112,2015,1166450.81,74
98115,2014,613597.26,397
98115,2015,633354.33,186
98116,2014,606727.56,216
98116,2015,641194.07,114
98117,2014,572776.59,396
98117,2015,586930.63,157
98118,2014,410130.92,311
98118,2015,429487.82,197
98119,2014,850026.12,130
98119,2015,848056.3,54
98122,2014,632246.6,207
98122,2015,639631.39,83
98125,2014,466995.45,280
98125,2015,474754.92,130
98126,2014,413803.28,253
98126,2015,452018.01,101
98133,2014,369761.07,322
98133,2015,419265.4,172
98136,2014,550435.51,169
98136,2015,553941.7,94
98144,2014,613206.95,227
98144,2015,558033.33,116
98146,2014,360093.24,174
98146,2015,358552.19,114
98148,2014,285849.74,39
98148,2015,282869.44,18
98155,2014,416564.27,304
98155,2015,439057.2,142
98166,2014,453688.76,168
98166,2015,484827.62,86
98168,2014,233594.96,188
98168,2015,255956.54,81
98177,2014,660875.79,181
98177,2015,713631.85,74
98178,2014,306093.51,185
98178,2015,321470.68,77
98188,2014,279961.81,83
98188,2015,303355.19,53
98198,2014,310021.55,182
98198,2015,289613.93,98
98199,2014,790335.52,214
98199,2015,794906.75,103
